Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Internal Accounting Measurements and Information for External Parties: An Analysis of Their Relationship in the Italian Banking Sector","Journal of Management and Governance","","2","1","10.1023/A:1009907808837","A. BarrettaA. Riccaboni","1998","http://link.springer.com/article/10.1023/A%3A1009907808837","Article"
"Trust violators in the labor movement: A study of union embezzlements","Journal of Labor Research","","19","3","10.1007/s12122-998-1048-5","Arthur L. Bowker","1998","http://link.springer.com/article/10.1007/s12122-998-1048-5","Article"
"Patterns of rabbinic succession in modern France","Jewish History","","13","1","10.1007/BF02337430","Jay R. Berkovitz","1999","http://link.springer.com/article/10.1007/BF02337430","Article"
"The Ability of Internal Auditors to Identify Ethical Dilemmas","Journal of Business Ethics","","23","4","10.1023/A:1006150718834","Joseph M. Larkin","2000","http://link.springer.com/article/10.1023/A%3A1006150718834","Article"
"Risk management for new information technology insertion in a shipping company","Operational Research","","1","1","10.1007/BF02936396","Nikitas NikitakosStefanos Gritzalis","2001","http://link.springer.com/article/10.1007/BF02936396","Article"
"Higher education and academic staff in a period of policy and system change","Higher Education","","41","1 - 2","10.1023/A:1026779132478","Berit Askling","2001","http://link.springer.com/article/10.1023/A%3A1026779132478","Article"
"Price Waterhouse: Summons before the civil court, Luxembourg","Crime, Law and Social Change","","35","1 - 2","10.1023/A:1017232917007","","2001","http://link.springer.com/article/10.1023/A%3A1017232917007","Article"
"Managing Workflow Authorization Constraints through Active Database Technology","Information Systems Frontiers","","3","3","10.1023/A:1011461409620","Fabio CasatiSilvana CastanoMariaGrazia Fugini","2001","http://link.springer.com/article/10.1023/A%3A1011461409620","Article"
"Workflow Automation: Overview and Research Issues","Information Systems Frontiers","","3","3","10.1023/A:1011457324641","Edward A. StohrJ. Leon Zhao","2001","http://link.springer.com/article/10.1023/A%3A1011457324641","Article"
"PBAC: Provision-based access control model","International Journal of Information Security","","1","2","10.1007/s102070100010","Michiharu Kudo","2002","http://link.springer.com/article/10.1007/s102070100010","Article"
"Compliant cryptologic protocols","International Journal of Information Security","","1","3","10.1007/s10207-002-0016-y","Ed DawsonKapali ViswanathanColin Boyd","2002","http://link.springer.com/article/10.1007/s10207-002-0016-y","Article"
"A proposed architecture and method of operation for improving the protection of privacy and confidentiality in disease registers","BMC Medical Research Methodology","","3","1","10.1186/1471-2288-3-1","Tim Churches","2003","http://link.springer.com/article/10.1186/1471-2288-3-1","Article"
"Business use of Internet-based information systems: the case of Korea","European Journal of Information Systems","","12","3","10.1057/palgrave.ejis.3000460","Sangjae Lee","2003","http://link.springer.com/article/10.1057/palgrave.ejis.3000460","Article"
"'Blessed Are the Meek, for They Shall Inherit the Earth' – An Aspiration Applicable to Business?","Journal of Business Ethics","","48","4","10.1023/B:BUSI.0000005746.55906.9d","David Molyneaux","2003","http://link.springer.com/article/10.1023/B%3ABUSI.0000005746.55906.9d","Article"
"Role-Based Access Controls: Status, Dissemination, and Prospects for Generic Security Mechanisms","Electronic Commerce Research","","4","1 - 2","10.1023/B:ELEC.0000009285.50078.b2","Wolfgang EssmayrStefan ProbstEdgar Weippl","2004","http://link.springer.com/article/10.1023/B%3AELEC.0000009285.50078.b2","Article"
"Security Analysis of Electronic Business Processes","Electronic Commerce Research","","4","1 - 2","10.1023/B:ELEC.0000009282.06809.c5","Susanne RöhrigKonstantin Knorr","2004","http://link.springer.com/article/10.1023/B%3AELEC.0000009282.06809.c5","Article"
"Perti net-based workflow access control model","Journal of Shanghai University (English Edition)","","8","1","10.1007/s11741-004-0014-6","Zhuo Chen Ph. D. CandidateTing LuoLei ShiFan Hong Ph. D.","2004","http://link.springer.com/article/10.1007/s11741-004-0014-6","Article"
"Implementing conflict of interest assertions in WS-policy with separation of duties for Web Services matchmaking process","Information Systems and e-Business Management","","2","1","10.1007/s10257-003-0030-2","Patrick C. K. HungGuang-Sha Qiu","2004","http://link.springer.com/article/10.1007/s10257-003-0030-2","Article"
"Stock Option Repricing: Heads I Win, Tails You Lose","Journal of Business Ethics","","50","4","10.1023/B:BUSI.0000025082.44204.b7","Avinash AryaHuey-Lian Sun","2004","http://link.springer.com/article/10.1023/B%3ABUSI.0000025082.44204.b7","Article"
"A database approach to cross selling in the banking industry: Practices, strategies and challenges","Journal of Database Marketing & Customer Strategy Management","","11","3","10.1057/palgrave.dbm.3240222","Dr Kin-nam LauHaily ChowConnie Liu","2004","http://link.springer.com/article/10.1057/palgrave.dbm.3240222","Article"
"Some methods for blindfolded record linkage","BMC Medical Informatics and Decision Making","","4","1","10.1186/1472-6947-4-9","Tim ChurchesPeter Christen","2004","http://link.springer.com/article/10.1186/1472-6947-4-9","Article"
"Organizational Management in Workflow Applications – Issues and Perspectives","Information Technology and Management","","5","3 - 4","10.1023/B:ITEM.0000031582.55219.2b","Michael Zur Muehlen","2004","http://link.springer.com/article/10.1023/B%3AITEM.0000031582.55219.2b","Article"
"Flexible Support and Management of Adaptive Workflow Processes","Information Systems Frontiers","","6","3","10.1023/B:ISFI.0000037879.05648.ca","N.C. Narendra","2004","http://link.springer.com/article/10.1023/B%3AISFI.0000037879.05648.ca","Article"
"An extended role based access control method for XML documents","Wuhan University Journal of Natural Sciences","","9","5","10.1007/BF02831673","Meng Xiao-fengLuo Dao-fengOu Jian-bo","2004","http://link.springer.com/article/10.1007/BF02831673","Article"
"An authorization model for multimedia digital libraries","International Journal on Digital Libraries","","4","3","10.1007/s00799-004-0080-1","Naren KodaliCsilla FarkasDuminda Wijesekera","2004","http://link.springer.com/article/10.1007/s00799-004-0080-1","Article"
"A distributed digital rights management model for secure information-distribution systems","International Journal of Information Security","","3","2","10.1007/s10207-004-0058-4","Habtamu AbiePål SpillingBent Foyn","2004","http://link.springer.com/article/10.1007/s10207-004-0058-4","Article"
"A trust negotiation system for digital library Web services","International Journal on Digital Libraries","","4","3","10.1007/s00799-004-0083-y","Halvard SkogsrudBoualem BenatallahFabio Casati","2004","http://link.springer.com/article/10.1007/s00799-004-0083-y","Article"
"Modeling and Analyzing of Workflow Authorization Management","Journal of Network and Systems Management","","12","4","10.1007/s10922-004-0674-3","Zhang YiZhang YongWang Weinong","2004","http://link.springer.com/article/10.1007/s10922-004-0674-3","Article"
"Subject Index to Volume 12","Journal of Network and Systems Management","","12","4","10.1007/s10922-004-1781-x","","2004","http://link.springer.com/article/10.1007/s10922-004-1781-x","Article"
"A family of RBAC-based workflow authorization models","Wuhan University Journal of Natural Sciences","","10","1","10.1007/BF02828679","Hong FanXing Guang-lin","2005","http://link.springer.com/article/10.1007/BF02828679","Article"
"A new formal model for privilege control with supporting POSIX capability mechanism","Science in China Series F: Information Sciences","","48","1","10.1360/03yf0244","Qingguang JiSihan QingYeping He","2005","http://link.springer.com/article/10.1360/03yf0244","Article"
"On the sequence of authorization policy transformations","International Journal of Information Security","","4","1 - 2","10.1007/s10207-004-0069-1","Yun BaiYan ZhangVijay Varadharajan","2005","http://link.springer.com/article/10.1007/s10207-004-0069-1","Article"
"Analyzing SLE 88 memory management security using Interacting State Machines","International Journal of Information Security","","4","3","10.1007/s10207-004-0057-5","David von OheimbVolkmar LotzGeorg Walter","2005","http://link.springer.com/article/10.1007/s10207-004-0057-5","Article"
"D&O underwriting implications of Sarbanes-Oxley","International Journal of Disclosure and Governance","","2","2","10.1057/palgrave.jdg.2040049","William C Redington","2005","http://link.springer.com/article/10.1057/palgrave.jdg.2040049","Article"
"Governance-linked D&O coverage: Leveraging the audit committee to manage governance risk","International Journal of Disclosure and Governance","","2","2","10.1057/palgrave.jdg.2040046","Michael G AllesSrikant M DatarJohn H Friedland","2005","http://link.springer.com/article/10.1057/palgrave.jdg.2040046","Article"
"A Trust-Based Context-Aware Access Control Model for Web-Services","Distributed and Parallel Databases","","18","1","10.1007/s10619-005-1075-7","Rafae BhattiElisa BertinoArif Ghafoor","2005","http://link.springer.com/article/10.1007/s10619-005-1075-7","Article"
"A model-driven framework for enterprise service management","Information Systems and e-Business Management","","3","2","10.1007/s10257-005-0056-8","Ying HuangSanthosh KumaranJen-Yao Chung","2005","http://link.springer.com/article/10.1007/s10257-005-0056-8","Article"
"New, High-impact Risk Management Standards for German Banks","Risk Management","","7","3","10.1057/palgrave.rm.8240220","Niels O AngermüllerMichael EichhornThomas Ramke","2005","http://link.springer.com/article/10.1057/palgrave.rm.8240220","Article"
"An algebraic approach for modelling organisation, roles and contexts in MAS","Applicable Algebra in Engineering, Communication and Computing","","16","2 - 3","10.1007/s00200-005-0174-z","Andrea OmiciniAlessandro RicciMirko Viroli","2005","http://link.springer.com/article/10.1007/s00200-005-0174-z","Article"
"EFSOC: A Layered Framework for Developing Secure Interactions between Web-Services","Distributed and Parallel Databases","","18","2","10.1007/s10619-005-1400-1","Willem-Jan van den HeuvelKees LeuneMike P. Papazoglou","2005","http://link.springer.com/article/10.1007/s10619-005-1400-1","Article"
"Organizing Multiagent Systems","Autonomous Agents and Multi-Agent Systems","","11","3","10.1007/s10458-005-1673-9","Javier Vázquez-SalcedaVirginia DignumFrank Dignum","2005","http://link.springer.com/article/10.1007/s10458-005-1673-9","Article"
"A workflow authorization model based on credentials","Wuhan University Journal of Natural Sciences","","11","1","10.1007/BF02831731","Xing Guang-linHong FanCai Hui","2006","http://link.springer.com/article/10.1007/BF02831731","Article"
"Understanding SPKI/SDSI using first-order logic","International Journal of Information Security","","5","1","10.1007/s10207-005-0073-0","Ninghui LiJohn C. Mitchell","2006","http://link.springer.com/article/10.1007/s10207-005-0073-0","Article"
"Data confidentiality: to which extent cryptography and secured hardware can help","Annales Des Télécommunications","","61","3 - 4","10.1007/BF03219909","Nicolas AnciauxLuc BouganimPhilippe Pucheral","2006","http://link.springer.com/article/10.1007/BF03219909","Article"
"Experimental investigation of information transmission in Formica pratensis (Hymenoptera, Formicidae) using “binary tree” maze","Entomological Review","","86","3","10.1134/S0013873806030043","T. A. Novgorodova","2006","http://link.springer.com/article/10.1134/S0013873806030043","Article"
"Revisionssichere Protokollierung in Standardbetriebssystemen","Datenschutz und Datensicherheit - DuD","","30","5","10.1007/s11623-006-0084-7","Prof. Stephen D. Wolthusen","2006","http://link.springer.com/article/10.1007/s11623-006-0084-7","Article"
"Opportunities for computer crime: considering systems risk from a criminological perspective","European Journal of Information Systems","","15","4","10.1057/palgrave.ejis.3000592","Robert WillisonJames Backhouse","2006","http://link.springer.com/article/10.1057/palgrave.ejis.3000592","Article"
"Dynamically authorized role-based access control for grid applications","Geo-spatial Information Science","","9","3","10.1007/BF02826772","Yao Hanbing Ph. DHu HepingLu ZhengdingLi Ruixuan","2006","http://link.springer.com/article/10.1007/BF02826772","Article"
"OrientX: An integrated, schema based native XML database system","Wuhan University Journal of Natural Sciences","","11","5","10.1007/BF02829235","Meng XiaofengWang XiaofengXie MinZhang XinZhou Junfeng","2006","http://link.springer.com/article/10.1007/BF02829235","Article"
"The use of non-wood forest products by migrants in a new settlement: experiences of a Visayan community in Palawan, Philippines","Journal of Ethnobiology and Ethnomedicine","","2","1","10.1186/1746-4269-2-36","Celeste Lacuna-Richman","2006","http://link.springer.com/article/10.1186/1746-4269-2-36","Article"
"A model-based approach to trust, security and assurance","BT Technology Journal","","24","4","10.1007/s10550-006-0097-7","A. BaldwinY. BeresS. ShiuP. Kearney","2006","http://link.springer.com/article/10.1007/s10550-006-0097-7","Article"
"Avoiding Embezzlement in the Bariatric Practice Office","Obesity Surgery","","16","10","10.1381/096089206778663814","Eldo E Frezza MD, MBA","2006","http://link.springer.com/article/10.1381/096089206778663814","Article"
"CROWN: A service grid middleware with trust management mechanism","Science in China Series F: Information Sciences","","49","6","10.1007/s11432-006-2029-z","Jinpeng HuaiChunming HuJianxin LiHailong SunTianyu Wo","2006","http://link.springer.com/article/10.1007/s11432-006-2029-z","Article"
"Authorization management framework based on joint trust-risk evaluation","Wuhan University Journal of Natural Sciences","","12","1","10.1007/s11859-006-0129-7","Qiuwei YangSunyong WuFan HongJunguo Liao","2007","http://link.springer.com/article/10.1007/s11859-006-0129-7","Article"
"Handling distributed authorization with delegation through answer set programming","International Journal of Information Security","","6","1","10.1007/s10207-006-0008-4","Shujing WangYan Zhang","2007","http://link.springer.com/article/10.1007/s10207-006-0008-4","Article"
"Using assurance models to aid the risk and governance life cycle","BT Technology Journal","","25","1","10.1007/s10550-007-0015-7","A. BaldwinY. BeresS. Shiu","2007","http://link.springer.com/article/10.1007/s10550-007-0015-7","Article"
"HER2 therapy. HER2 (ERBB2): functional diversity from structurally conserved building blocks","Breast Cancer Research","","9","1","10.1186/bcr1633","Ralf Landgraf","2007","http://link.springer.com/article/10.1186/bcr1633","Article"
"A Negotiation Scheme for Access Rights Establishment in Autonomic Communication","Journal of Network and Systems Management","","15","1","10.1007/s10922-006-9057-2","Hristo KoshutanskiFabio Massacci","2007","http://link.springer.com/article/10.1007/s10922-006-9057-2","Article"
"Supporting and Sustaining Grassroots Youth Organizations: The Case of New Detroit","VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations","","18","1","10.1007/s11266-007-9029-5","Joanne SobeckElizabeth AgiusVanessa N. Mayers","2007","http://link.springer.com/article/10.1007/s11266-007-9029-5","Article"
"Controls as a Sharable Knowledge Commodity: An Architecture for Open Exchange","Group Decision and Negotiation","","16","2","10.1007/s10726-006-9060-8","Ronald LeeKaushik DuttaKenneth HenryVu Nguyen","2007","http://link.springer.com/article/10.1007/s10726-006-9060-8","Article"
"Countering Fraud Against the Department of Work and Pensions: A Case Study in Risk Management","Crime Prevention and Community Safety","","9","2","10.1057/palgrave.cpcs.8150043","Geoffrey Smith","2007","http://link.springer.com/article/10.1057/palgrave.cpcs.8150043","Article"
"Zukunft von Online-Wahlen","Datenschutz und Datensicherheit - DuD","","31","6","10.1007/s11623-007-0155-4","Dipl.-Inform. Jörg HelbachMag. Robert KrimmerDipl.-Inform. Anastasia MeletiadouDipl.-Mathem Nils MeißnerDipl.-Inform. Melanie Volkamer","2007","http://link.springer.com/article/10.1007/s11623-007-0155-4","Article"
"Responsibility with authority: Using the power of the purse to leverage the effectiveness of the Board of Directors","International Journal of Disclosure and Governance","","4","2","10.1057/palgrave.jdg.2050049","Michael AllesJohn Friedland","2007","http://link.springer.com/article/10.1057/palgrave.jdg.2050049","Article"
"A formal model for access control with supporting spatial context","Science in China Series F: Information Sciences","","50","3","10.1007/s11432-007-0033-6","Hong ZhangYePing HeZhiGuo Shi","2007","http://link.springer.com/article/10.1007/s11432-007-0033-6","Article"
"Design of secure operating systems with high security levels","Science in China Series F: Information Sciences","","50","3","10.1007/s11432-007-0028-3","SiHan QingChangXiang Shen","2007","http://link.springer.com/article/10.1007/s11432-007-0028-3","Article"
"Modelling work distribution mechanisms using Colored Petri Nets","International Journal on Software Tools for Technology Transfer","","9","3 - 4","10.1007/s10009-007-0036-z","Maja PesicWil M. P. van der Aalst","2007","http://link.springer.com/article/10.1007/s10009-007-0036-z","Article"
"The treatment of operational risk under the New Basel framework: Critical issues","Journal of Banking Regulation","","8","4","10.1057/palgrave.jbr.2350055","Andreas A Jobst","2007","http://link.springer.com/article/10.1057/palgrave.jbr.2350055","Article"
"Resolution for conflicts of inter-operation in multi-domain environment","Wuhan University Journal of Natural Sciences","","12","5","10.1007/s11859-007-0039-3","Zhengding LuZhumu WenZhuo TangRuixuan Li","2007","http://link.springer.com/article/10.1007/s11859-007-0039-3","Article"
"SOA-Sicherheit für moderne Unternehmen","Datenschutz und Datensicherheit - DuD","","31","9","10.1007/s11623-007-0215-9","Volkmar Lotz","2007","http://link.springer.com/article/10.1007/s11623-007-0215-9","Article"
"SOA und Sicherheit","Datenschutz und Datensicherheit - DuD","","31","9","10.1007/s11623-007-0218-6","Claudia EckertBjörn SteinemannTobias Wahl","2007","http://link.springer.com/article/10.1007/s11623-007-0218-6","Article"
"Sicherheitsservices für Service Oriented Architecture (SOA)","Datenschutz und Datensicherheit - DuD","","31","9","10.1007/s11623-007-0219-5","Miriam Hamel","2007","http://link.springer.com/article/10.1007/s11623-007-0219-5","Article"
"Model based development of access policies","International Journal on Software Tools for Technology Transfer","","9","5 - 6","10.1007/s10009-007-0045-y","Ruth BreuGerhard PoppMuhammad Alam","2007","http://link.springer.com/article/10.1007/s10009-007-0045-y","Article"
"Bank insolvency and the problem of nonperforming loans","Journal of Banking Regulation","","9","1","10.1057/palgrave.jbr.2350057","Andrew Campbell","2007","http://link.springer.com/article/10.1057/palgrave.jbr.2350057","Article"
"GRC360: A framework to help organisations drive principled performance","International Journal of Disclosure and Governance","","4","4","10.1057/palgrave.jdg.2050066","Scott L Mitchell","2007","http://link.springer.com/article/10.1057/palgrave.jdg.2050066","Article"
"Internal regulations and procedures for financial trading units","Journal of Banking Regulation","","9","2","10.1057/jbr.2008.3","Mazin A M Al Janabi","2008","http://link.springer.com/article/10.1057/jbr.2008.3","Article"
"For-Profit And Non-Traditional Higher Education In The Wild, Wild West","Minerva","","46","1","10.1007/s11024-007-9082-7","Amy Scott Metcalfe","2008","http://link.springer.com/article/10.1007/s11024-007-9082-7","Article"
"Market reactions to the disclosure of internal control weaknesses and to the characteristics of those weaknesses under section 302 of the Sarbanes Oxley Act of 2002","Review of Accounting Studies","","13","1","10.1007/s11142-007-9046-z","Jacqueline S. HammersleyLinda A. MyersCatherine Shakespeare","2008","http://link.springer.com/article/10.1007/s11142-007-9046-z","Article"
"Discretionary capability confinement","International Journal of Information Security","","7","2","10.1007/s10207-007-0047-5","Philip W. L. Fong","2008","http://link.springer.com/article/10.1007/s10207-007-0047-5","Article"
"Delegation in role-based access control","International Journal of Information Security","","7","2","10.1007/s10207-007-0044-8","Jason CramptonHemanth Khambhammettu","2008","http://link.springer.com/article/10.1007/s10207-007-0044-8","Article"
"U-multimedia framework: a secure and intelligent multimedia service framework based on context information in U-home","The Journal of Supercomputing","","45","1","10.1007/s11227-008-0202-4","Deok Gyu LeeJong Hyuk ParkTai-Hoon KimLaurence T. Yang","2008","http://link.springer.com/article/10.1007/s11227-008-0202-4","Article"
"Purpose based access control for privacy protection in relational database systems","The VLDB Journal","","17","4","10.1007/s00778-006-0023-0","Ji-Won ByunNinghui Li","2008","http://link.springer.com/article/10.1007/s00778-006-0023-0","Article"
"Modeling contextual security policies","International Journal of Information Security","","7","4","10.1007/s10207-007-0051-9","Frédéric CuppensNora Cuppens-Boulahia","2008","http://link.springer.com/article/10.1007/s10207-007-0051-9","Article"
"Decentralized Access Control Management for Network Configuration","Journal of Network and Systems Management","","16","3","10.1007/s10922-008-9111-3","Ludwig SeitzGöran SelanderErik RissanenCao LingBabak Sadighi","2008","http://link.springer.com/article/10.1007/s10922-008-9111-3","Article"
"Information Sharing in Credit Markets: Incentives for Incorrect Information Reporting","Comparative Economic Studies","","50","3","10.1057/ces.2008.10","Maria Semenova","2008","http://link.springer.com/article/10.1057/ces.2008.10","Article"
"Secure activity resource coordination: empirical evidence of enhanced security awareness in designing secure business processes","European Journal of Information Systems","","17","5","10.1057/ejis.2008.42","Fergle D'AubeterreRahul SinghLakshmi Iyer","2008","http://link.springer.com/article/10.1057/ejis.2008.42","Article"
"Automatisierung von Compliance","HMD Praxis der Wirtschaftsinformatik","","45","5","10.1007/BF03341248","Dr. Stefan Sackmann","2008","http://link.springer.com/article/10.1007/BF03341248","Article"
"ExPDT: Ein Policy-basierter Ansatz zur Automatisierung von Compliance","WIRTSCHAFTSINFORMATIK","","50","5","10.1007/s11576-008-0078-1","Dr. Stefan SackmannDipl.-Inf. Martin Kähmer","2008","http://link.springer.com/article/10.1007/s11576-008-0078-1","Article"
"Einsatz einer ganzheitlichen GRC-Softwarelösung","HMD Praxis der Wirtschaftsinformatik","","45","5","10.1007/BF03341253","Dipl.-Ing. Bettina Götz MBAFrank KöhntoppBarbara MayerDipl.-Physiker Guido Wagner","2008","http://link.springer.com/article/10.1007/BF03341253","Article"
"Opportunity-driven IT service management","Journal of Digital Asset Management","","4","6","10.1057/dam.2008.41","Cameron Fisher","2008","http://link.springer.com/article/10.1057/dam.2008.41","Article"
"Using colored Petri nets to model and analyze workflow with separation of duty constraints","The International Journal of Advanced Manufacturing Technology","","40","1 - 2","10.1007/s00170-007-1316-1","Yahui LuLi ZhangJiaguang Sun","2009","http://link.springer.com/article/10.1007/s00170-007-1316-1","Article"
"A component-based policy-neutral architecture for kernel-level access control","annals of telecommunications - annales des télécommunications","","64","1 - 2","10.1007/s12243-008-0071-0","Marc LacosteTahar JarbouiRuan He","2009","http://link.springer.com/article/10.1007/s12243-008-0071-0","Article"
"From an Implicit Christian Corporate Culture to a Structured Conception of Corporate Ethical Responsibility 
in a Retail Company: A Case-Study in Hermeneutic Ethics","Journal of Business Ethics","","84","3","10.1007/s10551-009-0207-9","Geert Demuijnck","2009","http://link.springer.com/article/10.1007/s10551-009-0207-9","Article"
"Quality of internal control over financial reporting, corporate governance and credit ratings","International Journal of Disclosure and Governance","","6","2","10.1057/jdg.2008.32","Mohamed A Elbannan","2009","http://link.springer.com/article/10.1057/jdg.2008.32","Article"
"Security and privacy requirements for a multi-institutional cancer research data grid: an interview-based study","BMC Medical Informatics and Decision Making","","9","1","10.1186/1472-6947-9-31","Frank J ManionRobert J RobbinsWilliam A WeemsRebecca S Crowley","2009","http://link.springer.com/article/10.1186/1472-6947-9-31","Article"
"Conflict detection and resolution for authorization policies in workflow systems","Journal of Zhejiang University-SCIENCE A","","10","8","10.1631/jzus.A0820366","Chen-hua MaGuo-dong LuJiong Qiu","2009","http://link.springer.com/article/10.1631/jzus.A0820366","Article"
"Fibred Security Language","Studia Logica","","92","3","10.1007/s11225-009-9201-6","Guido BoellaDov M. GabbayValerio GenoveseLeendert van der Torre","2009","http://link.springer.com/article/10.1007/s11225-009-9201-6","Article"
"A Meta-model of Access Control in a Fibred Security Language","Studia Logica","","92","3","10.1007/s11225-009-9203-4","Steve BarkerGuido BoellaDov M. GabbayValerio Genovese","2009","http://link.springer.com/article/10.1007/s11225-009-9203-4","Article"
"Enhancing grid security by fine-grained behavioral control and negotiation-based authorization","International Journal of Information Security","","8","4","10.1007/s10207-009-0083-4","Hristo KoshutanskiAliaksandr LazouskiFabio MartinelliPaolo Mori","2009","http://link.springer.com/article/10.1007/s10207-009-0083-4","Article"
"XBRL: Solving real-world problems","International Journal of Disclosure and Governance","","6","3","10.1057/jdg.2009.8","Glen L GrayDavid W Miller","2009","http://link.springer.com/article/10.1057/jdg.2009.8","Article"
"Michael H. Brauer/Klaus-Dieter Steffen/Sven Biermann/Andreas H. Schuler Compliance Intelligence — Praxisorientierte Lösungsansätze für die risikobewusste Unternehmensführung","Controlling & Management","","53","4","10.1007/s12176-009-0080-5","Fabian Kleinschmit","2009","http://link.springer.com/article/10.1007/s12176-009-0080-5","Article"
"Compliance und ERP-Systeme: Eine bivalente Beziehung","Controlling & Management","","53","3","10.1365/s12176-012-0255-3","Dipl.-Kffr. Dipl.-Inform. (FH) Petra AsprionProf. Dr. Gerhard F Knolmayer","2009","http://link.springer.com/article/10.1365/s12176-012-0255-3","Article"
"A graph theoretic approach to authorization delegation and conflict resolution in decentralised systems","Distributed and Parallel Databases","","27","1","10.1007/s10619-009-7044-9","Chun RuanVijay Varadharajan","2010","http://link.springer.com/article/10.1007/s10619-009-7044-9","Article"
"IT-relevante Aspekte einer Prüfung von Datenschutz-Compliance","Datenschutz und Datensicherheit - DuD","","34","2","10.1007/s11623-010-0045-z","Aleksandra Sowa","2010","http://link.springer.com/article/10.1007/s11623-010-0045-z","Article"
"Algebra and logic for access control","Formal Aspects of Computing","","22","2","10.1007/s00165-009-0107-x","Matthew CollinsonDavid Pym","2010","http://link.springer.com/article/10.1007/s00165-009-0107-x","Article"
"The relationship among formal EDI controls, knowledge of EDI controls, and EDI performance","Information Technology and Management","","11","1","10.1007/s10799-010-0065-2","Sangjae LeeKun Chang Lee","2010","http://link.springer.com/article/10.1007/s10799-010-0065-2","Article"
"A comparison of security requirements engineering methods","Requirements Engineering","","15","1","10.1007/s00766-009-0092-x","Benjamin FabianSeda GürsesMaritta HeiselThomas SantenHolger Schmidt","2010","http://link.springer.com/article/10.1007/s00766-009-0092-x","Article"
"Governance Risk Compliance im SAP-Umfeld der Banken","HMD Praxis der Wirtschaftsinformatik","","47","2","10.1007/BF03340459","Dipl.-Betriebswirt Sven PetermannDr. Aleksandra Sowa","2010","http://link.springer.com/article/10.1007/BF03340459","Article"
"Abfallsammelfahrzeug mit Dieselelektrischem Hybridantrieb","ATZoffhighway","","3","1","10.1007/BF03223656","Georg Sandkühler","2010","http://link.springer.com/article/10.1007/BF03223656","Article"
"A delegation model for extended RBAC","International Journal of Information Security","","9","3","10.1007/s10207-010-0104-3","Meriam Ben-Ghorbel-TalbiFrédéric CuppensNora Cuppens-BoulahiaAdel Bouhoula","2010","http://link.springer.com/article/10.1007/s10207-010-0104-3","Article"
"Control patterns in a health-care network","European Journal of Information Systems","","19","3","10.1057/ejis.2010.13","Vera KartsevaJoris HulstijnJaap GordijnYao-Hua Tan","2010","http://link.springer.com/article/10.1057/ejis.2010.13","Article"
"EXAM: a comprehensive environment for the analysis of access control policies","International Journal of Information Security","","9","4","10.1007/s10207-010-0106-1","Dan LinPrathima RaoElisa BertinoNinghui LiJorge Lobo","2010","http://link.springer.com/article/10.1007/s10207-010-0106-1","Article"
"Security Requirements and Solutions in Electronic Health Records: Lessons Learned from a Comparative Study","Journal of Medical Systems","","34","4","10.1007/s10916-009-9276-7","Mehrdad FarzandipourFarahnaz SadoughiMaryam AhmadiIraj Karimi","2010","http://link.springer.com/article/10.1007/s10916-009-9276-7","Article"
