"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Assimilation of Compliance Software in Highly Regulated Industries: An Empirical Multitheoretical Investigation","P. M. Asprion; G. F. Knolmayer","Institute of Information Systems, University of Bern, Switzerland; Institute of Information Systems, University of Bern, Switzerland","2013 46th Hawaii International Conference on System Sciences","18 Mar 2013","2013","","","4405","4414","In this paper we follow a theory-based approach to study the assimilation of compliance software in highly regulated multinational enterprises. These relatively new software products support the automation of controls which are associated with mandatory compliance requirements. We use institutional and success factor theories to explain the assimilation of compliance software. A framework for analyzing the assimilation of Access Control Systems (ACS), a special type of compliance software, is developed and used to reflect the experiences obtained in four in-depth case studies. One result is that coercive, mimetic, and normative pressures significantly effect ACS assimilation. On the other hand, quality aspects have only a moderate impact at the beginning of the assimilation process, in later phases the impact may increase if performance and improvement objectives become more relevant. In addition, it turns out that position of the enterprises and compatibility heavily influence the assimilation process.","1530-1605","978-0-7695-4892-0","10.1109/HICSS.2013.107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480376","IT Governance;Compliance;GRC Systems;Access Systems;Segregation of Duties;Case Studies","Software;Technological innovation;Business;Context;Access control;Interviews;Information systems","authorisation;organisational aspects;software management","compliance software assimilation requirements;theory-based approach;software products;success factor theory;access control system assimilation analysis;ACS assimilation analysis;coercive pressure;normative pressure;mimetic pressure;highly-regulated multinational enterprises;institutional theory","","2","","28","IEEE","18 Mar 2013","","","IEEE","IEEE Conferences"
"Preventive approach to avoid intrusion in relational databases using response patterns","N. S. Judith; S. Bairavel","KCG College of Technology, Chennai, Tamil Nadu, IN; KCG College of Technology, Chennai, Tamil Nadu, IN","IET Chennai 3rd International on Sustainable Energy and Intelligent Systems (SEISCON 2012)","23 Jan 2014","2012","","","1","6","A rash of well-publicized database hacking incidents brings security to the forefront of issues faced by the database community. Anomalous requests are processed by the Intrusion Detection System (IDS). The intrusion response component is the major responsible component in IDS for anomalous requests processing. Response component manages some of the policy for authenticating the user requests for further access. The system is proposed with the Database Response Policies with two issues Policy Matching and Policy Administration. This system is termed as Joint Threshold Administrative Module (JTAM). The principle used in JTAM is Separation of Duty. The major idea is used to prevent the malicious modification of the policies by database administrators (DBA's). The database modification proposed ought to be signed by k DBA's for complete modified policy. Cryptographic algorithms are used to encrypt the policy and the signatures. The policies are limited for the user's view and for this `pattern concept' is used. An Intrusion Prevention Protocol (IPP) is proposed which detects the users that attacks the system and revokes the access rights of that user.","","978-1-84919-797-7","10.1049/cp.2012.2255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6719161","Intrusion Detection;Response;Policy;Separation of Duty;Threshold signature;Protocol;Cryptographic Algorithm","","cryptographic protocols;relational databases","relational databases;response patterns;preventive approach;database hacking;database community;intrusion detection system;IDS;intrusion response component;database response policies;policy administration;policy matching;joint threshold administrative module;JTAM;database administrators;DBA;cryptographic algorithms;intrusion prevention protocol;IPP","","","","","","23 Jan 2014","","","IET","IET Conferences"
"A security framework for XML schemas and documents for healthcare","A. De la Rosa Algarin; S. A. Demurjian; S. Berhe; J. A. Pavlich-Mariscal","Department of Computer Science and Engineering, University of Connecticut, Storrs, CT, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs, CT, USA; Department of Biomedical Informatics, Columbia University, New York, NY, USA; Departamento de Ingenieria de Sistemas, Pontificia Universidad Javeriana, Bogota, Colombia","2012 IEEE International Conference on Bioinformatics and Biomedicine Workshops","25 Feb 2013","2012","","","782","789","The extensible Markup Language (XML) has wide usage in healthcare to facilitate health information exchange via the Continuity of Care Record (CCR) for storing/managing patient data, diagnoses, medical notes, tests, scans, etc. Health IT products like electronic health record (EHR, e.g., GE Centricity) and personal health record (PHR, e.g., MS Health Vault) use CCR for data representation. To manage patient data in CCR, security as governed by HTPAA must be attained when using XML and its technologies (XACML, XSLT, etc.). Our objective is to have an XML document (CCR instance) appear differently to authorized users at different times based on a user's role, constraints, separation of duty, delegation of authority, etc. In this paper, we propose a security framework that targets XML schémas and documents, in general, and CCR schémas and documents, in particular with control capabilities that achieve customizable access to an XML document's elements by applying secure software engineering methodologies and defining new UML XML-focused diagrams for schémas and permissions. This allows us to generate XACML policies, and enforce security at the runtime level on XML instances to insure that correct and required patient data is securely delivered. In a market of rapidly emerging mobile healthcare applications to allow patients to manage their own data (PHRs) and for self-management of chronic diseases, the need for secure access to information and its authorization and transmission to providers (and EHRs) will be critical.","","978-1-4673-2747-3","10.1109/BIBMW.2012.6470239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470239","XML schemas;role-based access control;continuity of care record;security policies and enforcement","XML;Unified modeling language;Medical services;Access control;Software engineering;Standards","diseases;health care;medical information systems;mobile computing;patient diagnosis;security of data;software engineering;XML","security framework;XML schemas;XML documents;healthcare;extensible markup language;health information exchange;continuity of care record;CCR;patient data storage;patient data management;patient diagnosis;medical notes;Health IT products;electronic health record;EHR;personal health record;PHR;HTPAA;CCR schémas;CCR documents;software engineering methodologies;UML XML-focused diagrams;XACML policies;mobile healthcare applications;chronic disease self-management","","14","","38","IEEE","25 Feb 2013","","","IEEE","IEEE Conferences"
"A formal proximity model for RBAC systems","A. Gupta; M. Kirkpatrick; E. Bertino","Department of Computer Science, Purdue University, USA; Department of Computer Science, James Madison University, USA; Department of Computer Science, Purdue University, USA","8th International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom)","7 Feb 2013","2012","","","1","10","To combat the threat of information leakage through pervasive access, researchers have proposed several extensions to the popular role-based access control (RBAC) model. Such extensions can incorporate contextual features, such as location, into the policy decision in an attempt to restrict access to trustworthy settings. In many cases, though, such extensions fail to reflect the true threat, which is the presence or absence of other users, rather than absolute locations. For instance, for location-aware separation of duty, it is more important to ensure that two people are in the same room, rather than in a designated, pre-defined location. Prox-RBAC was proposed as an extension to consider the relative proximity of other users with the help of a pervasive monitoring infrastructure. However, that work offered only an informal view of proximity, and unnecessarily restricted the domain to spatial concerns. In this work, we present a more rigorous definition of proximity based on formal topological relations. In addition, we show that this definition can be applied to several additional domains, such as social networks, communication channels, attributes, and time; thus, our policy model and language is more flexible and powerful than the previous work. In addition to proposing the model, we present a number of theoretical results for such systems, including a complexity analysis, templates for cryptographic protocols, and proofs of security features.","","978-1-4673-2740-4","10.4108/icst.collaboratecom.2012.250453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6450887","access control;security;mobility;context awareness","","authorisation;cryptographic protocols","formal proximity model;RBAC system;information leakage;pervasive access;popular role based access control model;contextual features;policy decision;location aware separation;pervasive monitoring infrastructure;formal topological relation;social networks;communication channels;policy model;language;complexity analysis;templates;cryptographic protocols;security features","","1","1","20","","7 Feb 2013","","","IEEE","IEEE Conferences"
"Controlled delegation of signature in workflow systems","S. Fazlagic; N. Behlilovic; S. Mrdovic","Central Bank of Bosnia and Herzegovina, Sarajevo, Bosnia and Herzegovina; Faculty of Electrical Engineering, University of Sarajevo, Sarajevo, Bosnia and Herzegovina; Faculty of Electrical Engineering, University of Sarajevo, Sarajevo, Bosnia and Herzegovina","2012 20th Telecommunications Forum (TELFOR)","24 Jan 2013","2012","","","1389","1392","The fundamental concepts of this work are related to the proxy signature delegation in workflow systems. Many business processes rely on electronic documents. Therefore, organizations must properly protect the contents of an electronic document throughout its entire life cycle. Proxy digital scheme does not provide control over whether the proxy signer is allowed to accept delegation concerning the separation of duties, neither does it treat other possible delegation constraints. With proxy signature it is particularly important to prove whether the delegator is the authorized signer. The delegation of signature is constructed using the advantage of the RBAC model which is widely adopted in the current workflow management systems. This paper defines the controlled proxy signature model based on the role-based access control model. The central idea of this proposed model is that by controlling the delegation of tasks we are controlling the delegation of signature.","","978-1-4673-2984-2","10.1109/TELFOR.2012.6419477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6419477","proxy signature scheme;workflow;WfMS;proxy signer;delegation;signature delegation;task delegation;RBAC model;digital signature;authorization;electronic document","Standards;Authorization;Workflow management software;Digital signatures;Computational modeling;Business","authorisation;digital signatures;document handling;workflow management software","proxy signature delegation;business processes;electronic documents;proxy digital scheme;proxy signer;RBAC model;workflow management systems;controlled proxy signature model;role-based access control model","","","","24","IEEE","24 Jan 2013","","","IEEE","IEEE Conferences"
"Minimum user requirement in Role Based Access Control with Separation of Duty constraints","A. Roy; S. Sural; A. K. Majumdar","School of Information Technology, Indian Institute of Technology, Kharagpur, India; School of Information Technology, Indian Institute of Technology, Kharagpur, India; Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India","2012 12th International Conference on Intelligent Systems Design and Applications (ISDA)","24 Jan 2013","2012","","","386","391","Constraints, specifically Separation of Duty (SoD) constraints, constitute an essential component for specifying Role Based Access Control (RBAC) policies. While it has been shown earlier that SoD constraints can be effectively represented using a set of t - t Statically Mutually Exclusive Roles (SMER) constraints, this paper presents a method for finding minimum number of users under multiple SMER constraints. We show that one way of solving the problem is to evaluate chromatic numbers for a set of graphs. However, since exhaustive search is computationally quite expensive, we present a genetic algorithm formulation of the problem. Each chromosome is a string of positive integers within a certain range and its length equals the number of t-t SMER constraints in the system. We report our results for different values of the number of roles and the number of constraints and also for different values of t.","2164-7151","978-1-4673-5119-5","10.1109/ISDA.2012.6416569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6416569","Role Based Access Control (RBAC);Separation of Duty (SoD);Statically Mutually Exclusive Roles (SMER) constraint;Chromatic number;Genetic algorithm","Genetic algorithms;Access control;Biological cells;Permission;Intelligent systems;Computational modeling;Color","authorisation;genetic algorithms;graph theory","minimum user requirement;role based access control;duty constraints separation;SoD;separation of duty;RBAC;Statically Mutually Exclusive Roles;SMER;chromatic numbers;graph set;genetic algorithm","","6","","20","IEEE","24 Jan 2013","","","IEEE","IEEE Conferences"
"Conflict detection in security policies using Semantic Web technology","M. A. Neri; M. Guarnieri; E. Magri; S. Mutti; S. Paraboschi","Dipartimento di Ingegneria dell'Informazione e Metodi Matematici, Università degli Studi di Bergamo, Italy; Dipartimento di Ingegneria dell'Informazione e Metodi Matematici, Università degli Studi di Bergamo, Italy; Dipartimento di Ingegneria dell'Informazione e Metodi Matematici, Università degli Studi di Bergamo, Italy; Dipartimento di Ingegneria dell'Informazione e Metodi Matematici, Università degli Studi di Bergamo, Italy; Dipartimento di Ingegneria dell'Informazione e Metodi Matematici, Università degli Studi di Bergamo, Italy","2012 IEEE First AESS European Conference on Satellite Telecommunications (ESTEL)","3 Jan 2013","2012","","","1","6","The design of efficient and effective techniques for security policy analysis is a crucial open problem in modern information systems. Significant attention has been dedicated in the past to the use of logical tools for the analysis of security policies, but this work has produced a limited impact on enterprise information systems. Important reasons of the limited success of past research were the difficult integration of these approaches with the technological scenario and the limited scalability of many proposals. Nowadays Semantic Web tools are increasingly used in modern information systems. We show how the tools provided by Semantic Web and ontology management technologies offer an adequate basis for the realization of techniques able to support conflict analysis in security policies. Based on the use of these techniques, we propose a solution for two different variants of conflict analysis: (a) Policy Incompatibility, and (b) Separation of Duty Satisfiability. Experiments that test the techniques on large security policies demonstrate the scalability of the approach.","2375-8554","978-1-4673-4688-7","10.1109/ESTEL.2012.6400092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6400092","","Authorization;Semantic Web;Information systems;Ontologies;Prototypes","information systems;ontologies (artificial intelligence);security of data;semantic Web","security policy analysis;conflict detection;semantic Web technology;information systems;logical tools;enterprise information systems;ontology management technology;policy incompatibility;duty satisfiability separation","","4","","17","IEEE","3 Jan 2013","","","IEEE","IEEE Conferences"
"A New Model of Describing Mutual Exclusion of Roles and Its Realization","Y. -s. Lou; S. Chen; W. -y. Zhang; H. -t. Xu",NA; NA; NA; NA,"2012 11th International Symposium on Distributed Computing and Applications to Business, Engineering & Science","20 Dec 2012","2012","","","256","259","The mutual exclusion of roles as an effective means of implementing separation of duty, has an important role on access control in RBAC systems. This paper deeply discusses the types that the mutual exclusion of roles come from, and puts forward a model of describing mutual exclusion of roles. The model is similar to the structure of adjacency multiple table, and its basic unit is the role structure which can describe the relations with other roles. The paper also explores the situation after the digestion of the mutual exclusion, and finally gives out a simple application.","","978-1-4673-2630-8","10.1109/DCABES.2012.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6385284","RBAC;mutual exclusion of roles;Role distribution;Mutual exclusion digestion","Computational modeling;Access control;Computers;Educational institutions;Analytical models;Lead","authorisation","mutual roles exclusion;access control;RBAC systems;adjacency multiple table","","","","10","IEEE","20 Dec 2012","","","IEEE","IEEE Conferences"
"A Design by Contract Approach to Verify Access Control Policies","H. Ferrier-Belhaouari; P. Konopacki; R. Laleau; M. Frappier","XLIM-SIC UMR CNRS 7252, Université de Poitiers, France; GRIL, Département d'informatique, Université de Sherbrook, Canada; LACL, Université Paris-Est Créteil, France; GRIL, Département d'informatique, Université de Sherbrook, Canada","2012 IEEE 17th International Conference on Engineering of Complex Computer Systems","13 Sep 2012","2012","","","263","272","In the security domain, access control (AC) consists in specifying who can access to what and how, with the four well-known concepts of permission, prohibition, obligation and separation of duty. In this paper, we focus on role-based access control (RBAC) models and more precisely on the verification of formal RBAC models. We propose a solution for this verification issue, based on the use of the Tam ago platform. In Tam ago, functional contracts can be defined with pre/post conditions and deterministic automata. The Tam ago platform provides tools for static verifications of these contracts, generation of test scenarios from the abstract contracts and monitoring facilities for dynamic analyses. We have extended the platform to take into account AC aspects. AC rules, expressed in a subset of EB3SEC, a process algebra-based language, are translated into pre and post conditions of new security contracts. We have also adapted the test case generator to derive suitable test scenarios and the monitoring framework by adding a new security component.","","978-2-9541810-0-4","10.1109/ICECCS20050.2012.6299221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6299221","Access control specification;verification;Design by Contract","Contracts;Access control;Automata;Monitoring;Containers","authorisation;process algebra;system monitoring","contract approach;access control policy verification;security domain;role-based access control;RBAC models;verification issue;Tamago platform;deterministic automata;static verifications;dynamic analyses;AC rules;EB3SEC;process algebra-based language;test case generator","","1","","27","IEEE","13 Sep 2012","","","IEEE","IEEE Conferences"
"A provenance-based access control model","J. Park; D. Nguyen; R. Sandhu","Institute for Cyber Security, University of Texas, San Antonio, USA; Institute for Cyber Security, University of Texas, San Antonio, USA; Institute for Cyber Security, University of Texas, San Antonio, USA","2012 Tenth Annual International Conference on Privacy, Security and Trust","13 Sep 2012","2012","","","137","144","Existence of data provenance information in a system raises at least two security-related issues. One is how provenance data can be used to enhance security in the system and the other is how to protect provenance data which might be more sensitive than the data itself. Recent data provenance-related access control literature mainly focuses on the latter issue of protecting provenance data. In this paper, we propose a novel provenance-based access control model that addresses the former objective. Using provenance data for access control to the underlying data facilitates additional capabilities beyond those available in traditional access control models. We utilize a notion of dependency as the key foundation for access control policy specification. Dependency-based policy provides simplicity and effectiveness in policy specification and access control administration. We show our model can support dynamic separation of duty, workflow control, origin-based control, and object versioning. The proposed model identifies essential components and concepts and provides a foundational base model for provenance-based access control. We further discuss possible extensions of the proposed base model for enhanced access controls.","","978-1-4673-2326-0","10.1109/PST.2012.6297930","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6297930","","Data models;Authorization;Computational modeling;History;Grammar","authorisation;information science","provenance-based access control model;data provenance information;security enhancement;provenance data protection;dependency notion;access control policy specification;dependency-based policy;access control administration;dynamic duty separation;workflow control;origin-based control;object versioning","","54","","27","IEEE","13 Sep 2012","","","IEEE","IEEE Conferences"
"A COBIT and NIST-based conceptual framework for enterprise user account lifecycle management","C. I. Nwafor; P. Zavarsky; R. Ruhl; D. Lindskog","Department of Information Systems Security, Edmonton, AB, Canada; Department of Information Systems Security, Edmonton, AB, Canada; Department of Information Systems Security, Edmonton, AB, Canada; Department of Information Systems Security, Edmonton, AB, Canada","World Congress on Internet Security (WorldCIS-2012)","23 Aug 2012","2012","","","150","157","With the complexity posed by user account management for organizations, the need to implement an effective user account management process to help address possible risks to information cannot be overstated. To this end, this paper focuses on the development of a conceptual framework for enterprise user account lifecycle management (EUALMF), to help small - medium size organizations more effectively implement user account management recommendations contained in the NIST SP 800-53 standard, COBIT 4.1/5 framework, as well as other standards and best practices. It is argued that the high-level nature of the NIST standard and COBIT framework may make it difficult for small-medium size organizations to effectively implement recommendations proposed, due to resource and financial constraints. The framework is designed to provide a level of flexibility that ensures it can be easily adapted to most IT environments, to help ensure the separation of duties, least privilege and need-to-know principles are enforced, as well as providing the right balance between technical and non-technical controls to help prevent single-point-of-failure. The need to carry out a risk assessment process for user accounts, implementing an audit process, as well as implementing a performance measure metric has also been highlighted.","","978-1-908320-04-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6280218","security;user account management;COBIT;NIST","Security;NIST;Information systems","auditing;business data processing;risk management;small-to-medium enterprises","COBIT-based conceptual framework;NIST-based conceptual framework;enterprise user account lifecycle management;conceptual framework development;EUALMF;small-medium size organizations;NIST SP 800-53 standard;COBIT 4.1-5 framework;IT environments;duty separation;need-to-know principles;nontechnical controls;single-point-of-failure;risk assessment process;audit process;performance measure metric;National Institute of Standards and Technology;Control Objective for Information and Related Technology","","1","","21","","23 Aug 2012","","","IEEE","IEEE Conferences"
"A Refined RBAC Model for Cloud Computing","W. Li; H. Wan; X. Ren; S. Li","Graduate School of Computer and Information Sciences, Nova Southeastern University, Fort Lauderdale, USA; Shandong Zhongfu Information Industry Company Limited, Jinan, China; School of Computer Science and Technology, Nanjing University of Posts and Telecommunications, China; Shandong Zhongfu Information Industry Company Limited, Jinan, China","2012 IEEE/ACIS 11th International Conference on Computer and Information Science","7 Jun 2012","2012","","","43","48","Cloud computing is a fast growing field which is arguably a new computing paradigm. In cloud computing, computing resources are provided as services over the Internet and users can access resources on based on their payments. This paper discusses cloud computing and its related security risks, with a focus on access control. As a traditional access control mechanism, role-based access control (RBAC) model can be used to implement several important security principles such as least privilege, separation of duties, and data abstraction. This paper shows an on-going effort by refining entities in RBAC used for cloud computing, and further discusses their security implications. We argue that RBAC is well suited to many situations in cloud computing where users or applications can be clearly separated according to their job functions.","","978-1-4673-1536-4","10.1109/ICIS.2012.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6211075","Cloud computing;cloud security;Role-Based Access Control (RBAC)","Cloud computing;Access control;Computational modeling;Unified modeling language;Object oriented modeling;Permission","authorisation;cloud computing;risk analysis","refined RBAC model;cloud computing;Internet;security risks;role-based access control model;job functions","","6","1","18","IEEE","7 Jun 2012","","","IEEE","IEEE Conferences"
"Constraint-Aware Role Mining via Extended Boolean Matrix Decomposition","H. Lu; J. Vaidya; V. Atluri; Y. Hong","Department of Operations Management and Information System, The Leavey School of Business, Santa Clara University, Santa Clara, CA, USA; Department of Management Science and Information Systems, Rutgers University, Newark, NJ, USA; Department of Management Science and Information Systems, Rutgers University, Newark, NJ, USA; Department of Management Science and Information Systems, Rutgers University, Newark, NJ, USA","IEEE Transactions on Dependable and Secure Computing","19 Jul 2012","2012","9","5","655","669","The role mining problem has received considerable attention recently. Among the many solutions proposed, the Boolean matrix decomposition (BMD) formulation has stood out, which essentially discovers roles by decomposing the binary matrix representing user-to-permission assignment (UPA) into two matrices-user-to-role assignment (UA) and permission-to-role assignment (PA). However, supporting certain embedded constraints, such as separation of duty (SoD) and exceptions, is critical to the role mining process. Otherwise, the mined roles may not capture the inherent constraints of the access control policies of the organization. None of the previously proposed role mining solutions, including BMD, take into account these underlying constraints while mining. In this paper, we extend the BMD so that it reflects such embedded constraints by proposing to allow negative permissions in roles or negative role assignments for users. Specifically, by allowing negative permissions in roles, we are often able to use less roles to reconstruct the same given user-permission assignments. Moreover, from the resultant roles we can discover underlying constraints such as separation of duty constraints. This feature is not supported by any existing role mining approaches. Hence, we call the role mining problem with negative authorizations the constraint-aware role mining problem (CRM). We also explore other interesting variants of the CRM, which may occur in real situations. To enable CRM and its variants, we propose a novel approach, extended Boolean matrix decomposition (EBMD), which addresses the ineffectiveness of BMD in its ability of capturing underlying constraints. We analyze the computational complexity for each of CRM variants and present heuristics for problems that are proven to be NP-hard.","1941-0018","","10.1109/TDSC.2012.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143956","RBAC;constraint-aware role mining;EBMD.","Matrix decomposition;Authorization;Minimization;Organizations;Vectors;Clustering algorithms","authorisation;Boolean algebra;computational complexity;data mining;matrix decomposition","extended Boolean matrix decomposition;binary matrix;user-to-permission assignment;user-to-role assignment matrix;permission-to-role assignment matrix;embedded constraint;duty separation;access control policy;negative permission;negative role assignment;user-permission assignment;constraint-aware role mining problem;computational complexity;heuristics;NP-hard;role-based access control","","16","1","31","IEEE","31 Jan 2012","","","IEEE","IEEE Journals"
"Implementation of Chinese wall model in cloud computing for enhanced security","A. Kesarwani; C. Gupta; M. M. Tripathi; V. Gupta; R. Gupta; V. K. Chaurasiya","International Institute of Information Technology, Bangalore, Karnataka, IN; Cyber Law & Information Security, Indian Institute of Information Technology, Allahabad, India; International Institute of Information Technology, Bangalore, Karnataka, IN; Cyber Law & Information Security, Indian Institute of Information Technology, Allahabad, India; Cyber Law & Information Security, Indian Institute of Information Technology, Allahabad, India; International Institute of Information Technology, Bangalore, Karnataka, IN","2011 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC)","2 Aug 2012","2011","","","411","413","In a cloud environment, it is very difficult to implement some of the very basic concepts of Information security, Identity and access management, segregation of duties, access control to name a few. Also due to lack of awareness in this emerging field there is no world acclaimed standard/model to cater to the above mentioned problems especially from the point of view of the customer. We have tried to come up with a novel concept of implementing access control and segregation of duties in cloud using the critically acclaimed Chinese wall security policy, particularly from the client's perspective.","","978-1-4577-0240-2","10.1109/ETNCC.2011.6255932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6255932","cloud computing;Chinese wall model;security policy;nodes;IaaS","Cloud computing;Computational modeling;Companies;Access control","access control;cloud computing;security of data","Chinese wall model;cloud computing;security enhancement;information security;access management;access control;duty segregation;client perspective","","4","","","IEEE","2 Aug 2012","","","IEEE","IEEE Conferences"
"History-based constraints for dynamic separation-of-duty policies in usage control","Jianfeng Lu; Dewu Xu","School of Mathematics-Physical & Information Engineering, Zhejiang Normal University Jinhua, Zhejiang, China; School of Mathematics-Physical & Information Engineering, Zhejiang Normal University Jinhua, Zhejiang, China","Proceedings of 2011 International Conference on Computer Science and Network Technology","12 Apr 2012","2011","4","","2438","2442","Separation of Duty (SoD) is a widely used security principle to help prevent frauds in a business process. Recently presented usage control (VeON) has been considered as the next generation access control model. However, as a related and fundamental problem, the research of SoD policy in VeON has not been explored. In this paper, we give a formal definition of dynamic SoD (DSoD) policies, and show that checking whether a VeONA state satisfies a given DSoD policy is a coNP-complete problem, only two special cases can be checked in polynomial time. We propose the history-based constraints for enforcing DSoD policies in usage control. The key idea is to record each permission access request, and use these histories to make the decision when a new permission request is generated. This approach poses and answers fundamental questions related to enable the use of constraints to support SoD policies in VeON.","","978-1-4577-1587-7","10.1109/ICCSNT.2011.6182463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6182463","usage control;history-based constraint;dynamic separation of duty","Computers","authorisation;business data processing;optimisation;polynomials","history based constraints;dynamic separation-of-duty policies;usage control;SoD;security principle;business process;access control model;formal definition;coNP-complete problem;polynomial time","","","","22","IEEE","12 Apr 2012","","","IEEE","IEEE Conferences"
"Specification and enforcement of separation-of-duty policies in role-base access control","Jianfeng Lu; Jiaqing Zhou","School of Mathematics-Physical & Information Engineering, Zhejiang Normal University, Jinhua, Zhejiang, China; School of Mathematics-Physical & Information Engineering, Zhejiang Normal University, Jinhua, Zhejiang, China","Proceedings of 2011 International Conference on Computer Science and Network Technology","12 Apr 2012","2011","4","","2135","2140","Separation-of-duty (SoD) is widely considered to be a fundamental principle to role based access control (RBAC) models and systems should adhere. In this paper, we formulate and study the fundamental problem of SoD policies in the context of RBAC systems. We give a set-based specification of SoD policies and the safety checking problem for SoD policies in the context of RBAC. We study the problem of determining whether a SoD policy is enforceable, and show that directly enforcing SoD policies in RBAC is intractable (coNP-complete). Moreover, indirectly enforcing SoD policies by using mutually exclusive role constraints is also intractable (NP-hard). Therefore, we reduce the safety checking problem for SoD to SAT4J problem which can be solved using available SAT solvers. The experiments show the validity and effectively of the SAT approach.","","978-1-4577-1587-7","10.1109/ICCSNT.2011.6182399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6182399","Separation of Duty;RBAC;SAT4J","Computers","authorisation;computability;computational complexity","separation of duty policy enforcement;separation of duty policy specification;role-based access control;RBAC model;set-based specification;safety checking problem;coNP-complete problem;indirectly enforcing SoD policies;directly enforcing SoD policies;mutually exclusive role constraints;NP-hard problem;SAT4J problem;SAT solvers","","","","12","IEEE","12 Apr 2012","","","IEEE","IEEE Conferences"
"SeKMAC: A secure model for key management and access control in cryptographic file system","F. Rahimiasl; R. Azmi","Department of computer and electrical engineering, Isfahan University of Technology, Tehran, Iran; Department of computer engineering, Alzahra University, Tehran, Iran","2011 International Conference for Internet Technology and Secured Transactions","9 Feb 2012","2011","","","732","737","Growing need for protecting user's data in operating system level, results in developing various cryptographic file systems with their own key management and access control models. But threat model in existing models is not extensive enough, so that they are vulnerable to replay attack, user forging and collusion of users as well. So they can't have secure auditing and separation of duty in a secure way. Super users and recovery agents are in trust domain and this is a security risk. These models have performance overload in some operations such as right revocation. Another problem is about keeping lots of crypto metadata in existing models. In this paper we show a new secure model for key management and access control (SeKMAC) using special concepts for optimizing number of crypto metadata and structure of metadata in system which eliminates attacks on crypto metadata with a desired degree. Key management is based on symmetric operations which causes improvement in performance. We consider parameters for avoiding reply attacks, user forging and collusion of users in insecure environments. SeKMAC includes auditing and separation of duty in a secure way and recovery is done with less trust on external agents and revocation is done in an optimum way.","","978-1-908320-00-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6148429","Access class;Crypto Metadata;Key Management Unit (KMU);Access Control Unit (ACU);Crypto Metadata Unit (CMU)","Cryptography;Access control;File systems;Authentication;Computational modeling;Data models","authorisation;cryptography;meta data","SeKMAC;key management;access control;cryptographic file system;user data protection;threat model;super users;recovery agents;trust domain;security risk;crypto metadata;symmetric operation;duty auditing;duty separation","","","1","24","","9 Feb 2012","","","IEEE","IEEE Conferences"
